iter	Passed	Remaining
616	2000	1242
617	2003	1238
618	2006	1235
619	2009	1231
620	2012	1228
621	2015	1225
622	2018	1221
623	2021	1218
624	2024	1214
625	2028	1211
626	2031	1208
627	2034	1205
628	2037	1201
629	2040	1198
630	2043	1194
631	2046	1191
632	2049	1188
633	2052	1184
634	2055	1181
635	2058	1178
636	2061	1174
637	2064	1171
638	2067	1168
639	2070	1164
640	2073	1161
641	2076	1157
642	2079	1154
643	2082	1151
644	2085	1147
645	2088	1144
646	2091	1140
647	2094	1137
648	2097	1134
649	2101	1131
650	2104	1128
651	2107	1124
652	2110	1121
653	2113	1118
654	2116	1115
655	2120	1111
656	2123	1108
657	2126	1105
658	2129	1101
659	2132	1098
660	2135	1095
661	2138	1091
662	2141	1088
663	2145	1085
664	2148	1082
665	2151	1078
666	2154	1075
667	2157	1072
668	2160	1068
669	2163	1065
670	2166	1062
671	2170	1059
672	2173	1056
673	2176	1052
674	2179	1049
675	2182	1046
676	2185	1042
677	2188	1039
678	2191	1036
679	2194	1032
680	2198	1029
681	2202	1026
682	2205	1023
683	2208	1020
684	2211	1016
685	2215	1013
686	2218	1010
687	2221	1007
688	2224	1004
689	2227	1000
690	2230	997
691	2233	994
692	2236	990
693	2239	987
694	2243	984
695	2246	981
696	2249	977
697	2252	974
698	2255	971
699	2258	967
700	2261	964
701	2264	961
702	2267	958
703	2270	954
704	2273	951
705	2276	948
706	2279	944
707	2282	941
708	2285	938
709	2288	934
710	2291	931
711	2295	928
712	2298	925
713	2301	921
714	2304	918
715	2307	915
716	2310	911
717	2313	908
718	2316	905
719	2319	901
720	2321	898
721	2324	895
722	2328	891
723	2331	888
724	2334	885
725	2337	882
726	2340	878
727	2343	875
728	2346	872
729	2349	868
730	2352	865
731	2355	862
732	2358	859
733	2361	855
734	2364	852
735	2367	849
736	2370	846
737	2373	842
738	2377	839
739	2380	836
740	2382	832
741	2385	829
742	2389	826
743	2391	823
744	2395	819
745	2398	816
746	2401	813
747	2404	810
748	2407	806
749	2411	803
750	2414	800
751	2416	797
752	2419	793
753	2422	790
754	2426	787
755	2429	783
756	2432	780
757	2434	777
758	2438	774
759	2440	770
760	2444	767
761	2447	764
762	2450	761
763	2453	757
764	2456	754
765	2460	751
766	2463	748
767	2466	745
768	2469	741
769	2472	738
